Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
91,0.6871,18.37,17.22,0.62,0.44
92,0.687,18.38,17.2,0.62,0.44
93,0.6869,18.36,17.16,0.62,0.44
94,0.6869,18.37,17.19,0.62,0.44
95,0.6868,18.33,17.19,0.62,0.44
96,0.6867,18.39,17.26,0.62,0.44
97,0.6867,18.35,17.21,0.62,0.43
98,0.6866,18.39,17.24,0.62,0.44
99,0.6866,18.34,17.22,0.62,0.44
100,0.6863,18.37,17.22,0.62,0.44
101,0.6863,18.38,17.24,0.62,0.44
102,0.6863,18.39,17.25,0.62,0.44
103,0.6862,18.4,17.26,0.62,0.44
104,0.6862,18.4,17.27,0.62,0.44
105,0.6862,18.39,17.26,0.62,0.44
106,0.6862,18.39,17.25,0.62,0.44
107,0.6861,18.39,17.22,0.62,0.44
108,0.6861,18.38,17.25,0.62,0.44
109,0.6861,18.4,17.26,0.62,0.44
110,0.6861,18.39,17.26,0.62,0.44
111,0.6861,18.41,17.28,0.62,0.44
112,0.686,18.39,17.25,0.62,0.44
113,0.686,18.4,17.28,0.62,0.44
114,0.686,18.39,17.26,0.62,0.44
115,0.6859,18.38,17.23,0.62,0.44
116,0.6859,18.41,17.28,0.62,0.44
117,0.6859,18.36,17.23,0.62,0.44
118,0.6859,18.39,17.24,0.62,0.44
119,0.6858,18.39,17.22,0.62,0.44
120,0.6858,18.38,17.25,0.62,0.44
121,0.6858,18.38,17.2,0.62,0.44
122,0.6858,18.41,17.27,0.62,0.44
123,0.6858,18.4,17.26,0.62,0.44
124,0.6857,18.39,17.25,0.62,0.44
125,0.6857,18.38,17.21,0.62,0.44
126,0.6857,18.35,17.21,0.62,0.44
127,0.6857,18.41,17.27,0.62,0.44
128,0.6856,18.41,17.25,0.62,0.44
129,0.6856,18.35,17.2,0.62,0.44
130,0.6856,18.4,17.26,0.62,0.44
131,0.6856,18.39,17.25,0.62,0.44
132,0.6855,18.37,17.2,0.62,0.44
133,0.6855,18.39,17.22,0.62,0.44
134,0.6855,18.4,17.24,0.62,0.44
135,0.6855,18.42,17.29,0.62,0.44
136,0.6855,18.37,17.2,0.62,0.44
137,0.6854,18.4,17.25,0.62,0.44
138,0.6854,18.39,17.27,0.62,0.44
139,0.6854,18.39,17.21,0.62,0.44
140,0.6854,18.4,17.25,0.62,0.44
141,0.6854,18.41,17.26,0.62,0.44
142,0.6853,18.41,17.26,0.62,0.44
143,0.6853,18.42,17.29,0.62,0.44
144,0.6853,18.4,17.24,0.62,0.44
145,0.6853,18.38,17.23,0.62,0.44
146,0.6853,18.4,17.23,0.62,0.44
147,0.6852,18.41,17.25,0.62,0.44
148,0.6852,18.39,17.23,0.62,0.44
149,0.6852,18.38,17.25,0.62,0.44
150,0.6851,18.39,17.24,0.62,0.44
151,0.6851,18.39,17.23,0.62,0.44
152,0.6851,18.41,17.26,0.62,0.44
153,0.6851,18.4,17.26,0.62,0.44
154,0.685,18.39,17.25,0.62,0.44
155,0.6851,18.41,17.26,0.62,0.44
156,0.685,18.4,17.24,0.62,0.44
157,0.685,18.39,17.23,0.62,0.44
158,0.685,18.41,17.25,0.62,0.44
159,0.685,18.4,17.25,0.62,0.44
160,0.685,18.4,17.25,0.62,0.44
161,0.685,18.4,17.26,0.62,0.44
162,0.685,18.4,17.21,0.62,0.44
163,0.685,18.4,17.24,0.62,0.44
164,0.685,18.43,17.31,0.62,0.44
165,0.685,18.39,17.25,0.62,0.44
166,0.6849,18.41,17.28,0.62,0.44
167,0.6849,18.4,17.25,0.62,0.44
168,0.6849,18.4,17.25,0.62,0.44
169,0.6849,18.41,17.27,0.62,0.44
170,0.6849,18.41,17.26,0.62,0.44
171,0.6849,18.41,17.25,0.62,0.44
172,0.6849,18.41,17.26,0.62,0.44
173,0.6849,18.41,17.26,0.62,0.44
174,0.6849,18.41,17.26,0.62,0.44
175,0.6848,18.43,17.3,0.62,0.44
176,0.6848,18.41,17.25,0.62,0.44
177,0.6849,18.42,17.28,0.62,0.44
178,0.6848,18.4,17.24,0.62,0.44
179,0.6848,18.41,17.26,0.62,0.44
180,0.6848,18.41,17.29,0.62,0.44
