Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
1,0.7687,17.59,16.47,0.58,0.39
2,0.7304,17.75,16.41,0.59,0.42
3,0.7215,17.77,16.46,0.6,0.43
4,0.7164,17.81,16.8,0.6,0.42
5,0.7135,17.89,16.8,0.6,0.43
6,0.7114,17.92,16.93,0.6,0.43
7,0.7096,17.7,16.56,0.6,0.42
8,0.7085,17.99,16.95,0.61,0.43
9,0.7068,17.9,16.87,0.6,0.42
10,0.7058,17.92,16.78,0.61,0.43
11,0.7049,17.95,16.78,0.6,0.42
12,0.7038,18.06,16.93,0.61,0.43
13,0.7029,18.13,17.04,0.61,0.43
14,0.7021,18.1,17.06,0.61,0.43
15,0.7013,18.09,17.01,0.61,0.43
16,0.7008,18.15,17.07,0.61,0.43
17,0.7,18.16,17.14,0.61,0.43
18,0.6995,18.17,17.12,0.61,0.43
19,0.6988,18.17,17.0,0.61,0.44
20,0.6984,18.17,17.12,0.61,0.43
21,0.6981,18.2,17.19,0.61,0.43
22,0.6975,18.14,16.92,0.61,0.44
23,0.6971,18.22,17.13,0.61,0.43
24,0.6967,18.21,17.19,0.61,0.43
25,0.6962,18.23,17.07,0.61,0.44
26,0.696,18.25,17.21,0.61,0.43
27,0.6957,18.12,17.03,0.61,0.43
28,0.6952,18.24,17.14,0.61,0.43
29,0.695,18.28,17.11,0.62,0.43
30,0.6947,18.26,17.14,0.61,0.43
31,0.6945,18.26,17.14,0.62,0.44
32,0.6943,18.3,17.25,0.62,0.43
33,0.694,18.22,17.04,0.62,0.44
34,0.6937,18.23,17.09,0.61,0.43
35,0.6934,18.27,17.16,0.62,0.43
36,0.6932,18.17,16.98,0.61,0.43
37,0.693,18.3,17.23,0.62,0.43
38,0.6926,18.31,17.24,0.62,0.43
39,0.6926,18.22,17.04,0.62,0.43
40,0.6924,18.3,17.23,0.62,0.44
41,0.6922,18.18,16.94,0.62,0.44
42,0.692,18.24,17.04,0.62,0.44
43,0.6917,18.17,16.87,0.62,0.44
44,0.6917,18.32,17.15,0.62,0.44
45,0.6914,18.35,17.27,0.62,0.44
46,0.6913,18.21,17.04,0.62,0.43
47,0.691,18.31,17.2,0.62,0.43
48,0.6909,18.29,17.17,0.62,0.43
49,0.6907,18.16,16.76,0.62,0.44
50,0.69,18.33,17.2,0.62,0.44
51,0.6898,18.35,17.24,0.62,0.44
52,0.6897,18.35,17.22,0.62,0.44
53,0.6896,18.37,17.27,0.62,0.44
54,0.6895,18.35,17.19,0.62,0.44
55,0.6895,18.3,17.18,0.62,0.43
56,0.6894,18.33,17.18,0.62,0.44
57,0.6893,18.33,17.19,0.62,0.44
58,0.6892,18.35,17.21,0.62,0.44
59,0.6891,18.3,17.18,0.62,0.43
60,0.6891,18.33,17.19,0.62,0.44
61,0.689,18.32,17.16,0.62,0.44
62,0.689,18.36,17.23,0.62,0.44
63,0.6889,18.35,17.24,0.62,0.43
64,0.6888,18.33,17.21,0.62,0.44
65,0.6887,18.36,17.2,0.62,0.44
66,0.6886,18.33,17.19,0.62,0.44
67,0.6886,18.32,17.16,0.62,0.44
68,0.6885,18.37,17.25,0.62,0.44
69,0.6884,18.33,17.15,0.62,0.44
70,0.6883,18.34,17.18,0.62,0.44
71,0.6883,18.35,17.22,0.62,0.44
72,0.6882,18.34,17.16,0.62,0.44
73,0.6882,18.34,17.22,0.62,0.44
74,0.6881,18.4,17.31,0.62,0.44
75,0.688,18.31,17.14,0.62,0.44
76,0.688,18.35,17.24,0.62,0.44
77,0.6879,18.35,17.21,0.62,0.44
78,0.6878,18.37,17.21,0.62,0.44
79,0.6877,18.35,17.23,0.62,0.44
80,0.6877,18.37,17.23,0.62,0.44
81,0.6876,18.37,17.21,0.62,0.44
82,0.6876,18.38,17.21,0.62,0.44
83,0.6875,18.38,17.26,0.62,0.44
84,0.6875,18.36,17.21,0.62,0.44
85,0.6873,18.37,17.28,0.62,0.44
86,0.6873,18.36,17.21,0.62,0.44
87,0.6873,18.39,17.28,0.62,0.44
88,0.6872,18.35,17.2,0.62,0.44
89,0.6872,18.35,17.18,0.62,0.44
90,0.6871,18.39,17.28,0.62,0.44
