Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
1,0.2214,23.67,18.28,0.57,0.31
2,0.1013,26.09,20.69,0.69,0.39
3,0.0794,26.77,22.93,0.74,0.65
4,0.0715,27.07,23.6,0.77,0.7
5,0.0667,27.48,24.17,0.78,0.68
6,0.0639,27.38,24.16,0.79,0.72
7,0.0618,27.64,24.72,0.8,0.74
8,0.06,27.52,24.71,0.8,0.74
9,0.0589,27.99,25.4,0.81,0.72
10,0.0579,28.09,25.37,0.81,0.75
11,0.0568,28.12,25.96,0.81,0.77
12,0.0562,28.07,26.18,0.82,0.77
13,0.0554,28.04,25.99,0.82,0.76
14,0.0549,28.3,26.19,0.82,0.78
15,0.0543,28.23,26.42,0.82,0.75
16,0.054,28.07,26.35,0.81,0.76
17,0.0536,28.36,26.87,0.83,0.79
18,0.0532,27.9,25.13,0.82,0.68
19,0.0526,28.41,27.08,0.83,0.8
20,0.0525,28.42,27.0,0.83,0.78
21,0.0522,28.26,26.92,0.82,0.79
22,0.0518,28.47,27.36,0.83,0.8
23,0.0517,28.29,27.02,0.83,0.77
24,0.0514,28.33,27.24,0.83,0.8
25,0.0511,28.46,27.53,0.83,0.81
26,0.051,28.46,27.54,0.83,0.78
27,0.0507,28.55,27.73,0.83,0.8
28,0.0505,28.56,27.74,0.83,0.81
29,0.0503,28.37,27.29,0.83,0.8
30,0.0502,28.61,27.88,0.83,0.8
31,0.0499,28.21,26.34,0.83,0.77
32,0.0498,28.5,27.7,0.83,0.81
33,0.0496,28.67,28.05,0.84,0.82
34,0.0494,28.52,27.76,0.83,0.78
35,0.0494,28.43,27.79,0.83,0.82
36,0.0492,28.63,28.2,0.83,0.82
37,0.0491,28.52,28.18,0.83,0.82
38,0.0489,28.67,28.26,0.84,0.82
39,0.0487,28.26,26.8,0.82,0.71
40,0.0487,28.69,28.33,0.84,0.82
41,0.0486,28.72,28.04,0.84,0.82
42,0.0486,28.62,28.23,0.84,0.82
43,0.0484,28.13,26.63,0.83,0.76
44,0.0484,28.71,28.36,0.84,0.83
45,0.0482,28.57,28.02,0.84,0.82
46,0.0482,28.59,28.24,0.84,0.83
47,0.0482,28.04,25.68,0.83,0.75
48,0.048,28.64,28.44,0.84,0.83
49,0.0481,28.73,28.48,0.84,0.83
50,0.0472,28.56,27.96,0.84,0.8
51,0.0471,28.68,28.48,0.84,0.83
52,0.0471,28.78,28.51,0.84,0.83
53,0.0471,28.62,28.24,0.84,0.82
54,0.047,28.4,27.24,0.84,0.81
55,0.047,28.61,28.32,0.84,0.83
56,0.047,28.56,28.1,0.84,0.82
57,0.047,28.31,27.19,0.83,0.79
58,0.0469,28.78,28.64,0.84,0.84
59,0.0469,28.69,28.33,0.84,0.83
60,0.0468,28.67,28.34,0.84,0.83
61,0.0469,28.66,28.21,0.84,0.83
62,0.0468,28.74,28.57,0.84,0.84
63,0.0468,28.54,27.67,0.84,0.82
64,0.0467,28.74,28.56,0.84,0.84
65,0.0468,28.73,28.6,0.84,0.84
66,0.0467,28.64,28.1,0.84,0.83
67,0.0467,28.72,28.4,0.84,0.83
68,0.0467,28.67,28.33,0.84,0.83
69,0.0467,28.76,28.57,0.84,0.83
70,0.0467,28.67,28.4,0.84,0.83
71,0.0466,28.71,28.45,0.84,0.84
