Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
141,0.0456,28.8,28.7,0.84,0.84
142,0.0456,28.82,28.76,0.84,0.84
143,0.0456,28.73,28.39,0.84,0.84
144,0.0456,28.69,28.31,0.84,0.83
145,0.0456,28.91,28.9,0.84,0.85
146,0.0456,28.8,28.65,0.84,0.84
147,0.0456,28.77,28.46,0.84,0.83
148,0.0456,28.68,28.23,0.84,0.84
149,0.0456,28.82,28.78,0.84,0.85
150,0.0455,28.78,28.5,0.84,0.84
151,0.0455,28.81,28.69,0.84,0.85
152,0.0455,28.76,28.54,0.84,0.84
153,0.0455,28.77,28.54,0.84,0.84
154,0.0455,28.8,28.62,0.84,0.84
155,0.0455,28.83,28.72,0.84,0.85
156,0.0455,28.73,28.42,0.84,0.84
157,0.0455,28.85,28.81,0.84,0.85
158,0.0455,28.78,28.53,0.84,0.84
159,0.0455,28.8,28.59,0.84,0.84
160,0.0455,28.86,28.8,0.84,0.85
161,0.0455,28.73,28.35,0.84,0.84
162,0.0455,28.83,28.72,0.84,0.85
163,0.0455,28.78,28.56,0.84,0.84
164,0.0455,28.74,28.45,0.84,0.84
165,0.0455,28.8,28.62,0.84,0.84
166,0.0455,28.81,28.67,0.84,0.84
167,0.0455,28.79,28.62,0.84,0.84
168,0.0455,28.75,28.41,0.84,0.84
169,0.0455,28.77,28.5,0.84,0.84
170,0.0455,28.81,28.69,0.84,0.84
171,0.0454,28.81,28.63,0.84,0.84
172,0.0455,28.84,28.74,0.84,0.85
173,0.0454,28.85,28.8,0.84,0.85
174,0.0454,28.8,28.63,0.84,0.84
175,0.0455,28.76,28.53,0.84,0.84
176,0.0454,28.81,28.65,0.84,0.85
177,0.0454,28.76,28.45,0.84,0.84
178,0.0454,28.83,28.74,0.84,0.85
179,0.0454,28.74,28.36,0.84,0.83
180,0.0454,28.84,28.73,0.84,0.85
181,0.0454,28.79,28.58,0.84,0.84
182,0.0454,28.85,28.8,0.84,0.85
183,0.0454,28.69,28.18,0.84,0.84
184,0.0454,28.85,28.8,0.84,0.85
185,0.0454,28.81,28.68,0.84,0.85
186,0.0454,28.79,28.59,0.84,0.84
187,0.0454,28.78,28.54,0.84,0.84
188,0.0454,28.74,28.37,0.84,0.84
189,0.0454,28.83,28.72,0.84,0.84
190,0.0454,28.79,28.59,0.84,0.84
191,0.0454,28.8,28.64,0.84,0.84
192,0.0454,28.85,28.8,0.84,0.85
193,0.0454,28.75,28.39,0.84,0.84
194,0.0454,28.74,28.38,0.84,0.84
195,0.0454,28.72,28.36,0.84,0.84
196,0.0454,28.77,28.56,0.84,0.84
197,0.0454,28.69,28.25,0.84,0.84
198,0.0454,28.84,28.78,0.84,0.85
199,0.0454,28.83,28.72,0.84,0.85
200,0.0453,28.83,28.72,0.84,0.85
201,0.0453,28.82,28.69,0.84,0.85
202,0.0453,28.83,28.72,0.84,0.85
203,0.0454,28.8,28.61,0.84,0.84
204,0.0453,28.82,28.68,0.84,0.84
205,0.0454,28.79,28.59,0.84,0.84
206,0.0454,28.82,28.7,0.84,0.85
207,0.0453,28.82,28.7,0.84,0.85
208,0.0454,28.8,28.61,0.84,0.84
209,0.0453,28.83,28.71,0.84,0.85
210,0.0454,28.78,28.55,0.84,0.84
211,0.0453,28.82,28.68,0.84,0.85
212,0.0453,28.77,28.54,0.84,0.84
213,0.0453,28.76,28.46,0.84,0.84
214,0.0453,28.81,28.65,0.84,0.85
