Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
213,0.1261,27.61,26.54
214,0.1261,27.66,26.61
215,0.1261,27.55,26.5
216,0.1261,27.6,26.55
217,0.1261,27.64,26.56
218,0.1261,27.48,26.46
219,0.1261,27.65,26.54
220,0.1261,27.66,26.61
221,0.1261,27.69,26.56
222,0.1261,27.68,26.57
223,0.1261,27.52,26.53
224,0.126,27.71,26.64
225,0.126,27.64,26.56
226,0.126,27.58,26.5
227,0.1261,27.69,26.58
228,0.1261,27.65,26.62
229,0.126,27.55,26.51
230,0.1261,27.59,26.55
231,0.126,27.67,26.59
232,0.126,27.44,26.48
233,0.126,27.51,26.5
234,0.1261,27.69,26.58
235,0.126,27.59,26.53
236,0.126,27.67,26.57
237,0.1261,27.61,26.56
238,0.126,27.68,26.59
239,0.126,27.68,26.6
240,0.126,27.64,26.57
241,0.1259,27.63,26.56
242,0.126,27.71,26.64
243,0.126,27.59,26.56
244,0.126,27.57,26.53
245,0.126,27.51,26.48
246,0.126,27.52,26.57
247,0.126,27.66,26.51
248,0.126,27.75,26.63
249,0.126,27.52,26.49
250,0.126,27.77,26.67
251,0.1259,27.63,26.58
252,0.1259,27.66,26.59
253,0.1259,27.77,26.68
254,0.1259,27.7,26.62
255,0.1259,27.65,26.58
256,0.1259,27.63,26.59
257,0.1258,27.53,26.51
258,0.1259,27.62,26.57
259,0.1259,27.57,26.53
260,0.1259,27.67,26.62
261,0.1259,27.57,26.48
262,0.1259,27.7,26.59
263,0.1259,27.69,26.6
264,0.1259,27.71,26.61
265,0.1259,27.55,26.48
266,0.1259,27.57,26.53
267,0.1259,27.67,26.59
268,0.1259,27.67,26.61
269,0.1258,27.66,26.61
270,0.1259,27.54,26.49
271,0.1259,27.56,26.52
272,0.1259,27.68,26.58
273,0.1258,27.65,26.57
274,0.1259,27.63,26.58
275,0.1259,27.66,26.57
276,0.1258,27.7,26.62
277,0.1258,27.57,26.52
278,0.1258,27.7,26.62
279,0.1259,27.62,26.52
280,0.1259,27.63,26.56
281,0.1258,27.64,26.6
282,0.1258,27.65,26.57
283,0.1258,27.68,26.62
