Epoch,Avg. Loss_r,Avg. Loss_g,Avg. PSNR1,Avg. PSNR2
351,0.0898,0.0678,27.67,26.58
352,0.0898,0.0678,27.63,26.56
353,0.0898,0.0678,27.66,26.58
354,0.0898,0.0678,27.67,26.58
355,0.0898,0.0678,27.62,26.55
356,0.0898,0.0678,27.62,26.55
357,0.0898,0.0678,27.61,26.55
358,0.0898,0.0678,27.61,26.55
359,0.0898,0.0678,27.64,26.57
360,0.0898,0.0677,27.59,26.53
361,0.0898,0.0678,27.64,26.57
362,0.0898,0.0678,27.66,26.58
363,0.0898,0.0678,27.62,26.56
364,0.0898,0.0678,27.59,26.54
365,0.0898,0.0678,27.62,26.55
366,0.0898,0.0678,27.62,26.56
367,0.0898,0.0678,27.65,26.58
368,0.0898,0.0678,27.65,26.56
369,0.0898,0.0678,27.65,26.57
370,0.0898,0.0678,27.64,26.57
371,0.0898,0.0678,27.66,26.58
372,0.0898,0.0677,27.61,26.55
373,0.0898,0.0677,27.64,26.57
374,0.0898,0.0677,27.66,26.58
375,0.0898,0.0677,27.66,26.58
376,0.0898,0.0677,27.64,26.57
377,0.0898,0.0677,27.63,26.55
378,0.0898,0.0677,27.6,26.55
379,0.0898,0.0677,27.63,26.57
380,0.0898,0.0677,27.6,26.54
381,0.0898,0.0677,27.59,26.54
382,0.0898,0.0677,27.67,26.6
383,0.0898,0.0677,27.66,26.58
