Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
212,0.0265,31.41,30.2
213,0.0265,31.43,30.22
214,0.0265,31.4,30.19
215,0.0265,31.4,30.2
216,0.0265,31.43,30.22
217,0.0265,31.43,30.22
218,0.0265,31.42,30.21
219,0.0265,31.43,30.22
220,0.0265,31.39,30.18
221,0.0265,31.43,30.22
222,0.0265,31.39,30.19
223,0.0265,31.44,30.23
224,0.0265,31.42,30.21
225,0.0265,31.44,30.23
226,0.0265,31.41,30.2
227,0.0265,31.42,30.21
228,0.0265,31.42,30.21
229,0.0265,31.42,30.21
230,0.0265,31.42,30.2
231,0.0265,31.41,30.2
232,0.0265,31.42,30.21
233,0.0265,31.41,30.21
234,0.0265,31.43,30.22
235,0.0265,31.4,30.19
236,0.0265,31.38,30.17
237,0.0265,31.43,30.22
238,0.0265,31.42,30.21
239,0.0265,31.4,30.19
240,0.0265,31.41,30.2
241,0.0265,31.42,30.21
242,0.0265,31.43,30.22
243,0.0265,31.42,30.21
244,0.0265,31.44,30.22
245,0.0265,31.42,30.21
246,0.0265,31.42,30.22
247,0.0265,31.43,30.22
248,0.0265,31.42,30.22
249,0.0265,31.44,30.23
250,0.0265,31.4,30.19
251,0.0265,31.41,30.2
252,0.0265,31.42,30.21
253,0.0265,31.42,30.22
254,0.0265,31.42,30.21
255,0.0265,31.42,30.21
256,0.0265,31.43,30.22
257,0.0265,31.41,30.2
258,0.0265,31.42,30.21
259,0.0265,31.43,30.22
260,0.0265,31.42,30.21
261,0.0265,31.4,30.2
262,0.0265,31.41,30.2
