Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
214,0.0518,28.46,27.53
215,0.0518,28.45,27.49
216,0.0518,28.48,27.54
217,0.0518,28.54,27.6
218,0.0518,28.47,27.53
219,0.0518,28.46,27.5
220,0.0518,28.5,27.56
221,0.0518,28.52,27.55
222,0.0518,28.49,27.54
223,0.0518,28.51,27.55
224,0.0518,28.44,27.47
225,0.0518,28.48,27.56
226,0.0518,28.42,27.46
227,0.0518,28.49,27.54
228,0.0518,28.47,27.48
229,0.0518,28.48,27.52
230,0.0518,28.42,27.49
231,0.0518,28.43,27.49
232,0.0518,28.44,27.48
233,0.0518,28.36,27.4
234,0.0518,28.42,27.45
235,0.0518,28.42,27.47
236,0.0518,28.41,27.47
237,0.0518,28.51,27.55
238,0.0518,28.42,27.49
239,0.0518,28.45,27.5
240,0.0518,28.44,27.47
241,0.0518,28.39,27.43
242,0.0518,28.48,27.54
243,0.0518,28.52,27.57
244,0.0518,28.43,27.49
245,0.0518,28.49,27.53
246,0.0517,28.42,27.44
247,0.0517,28.48,27.55
248,0.0518,28.44,27.5
249,0.0518,28.52,27.58
250,0.0518,28.44,27.52
251,0.0517,28.45,27.48
252,0.0517,28.43,27.47
253,0.0517,28.45,27.49
254,0.0517,28.47,27.52
255,0.0517,28.43,27.49
256,0.0517,28.44,27.49
257,0.0517,28.41,27.43
258,0.0517,28.46,27.49
259,0.0517,28.5,27.57
260,0.0517,28.46,27.51
261,0.0517,28.43,27.49
262,0.0517,28.49,27.53
263,0.0517,28.49,27.55
