Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
131,0.1812,31.17,30.03,0.86,0.82
132,0.1812,31.17,30.02,0.86,0.82
133,0.1812,31.2,30.05,0.86,0.82
134,0.1812,31.17,30.02,0.86,0.82
135,0.1812,31.16,30.0,0.86,0.82
136,0.1812,31.15,30.01,0.86,0.82
137,0.1812,31.15,29.99,0.86,0.82
138,0.1812,31.16,30.01,0.86,0.82
139,0.1812,31.16,30.01,0.86,0.82
140,0.1812,31.17,30.02,0.86,0.82
141,0.1812,31.18,30.02,0.86,0.82
142,0.1811,31.15,30.0,0.86,0.82
143,0.1811,31.16,30.01,0.86,0.82
144,0.1811,31.18,30.03,0.86,0.82
145,0.1811,31.19,30.03,0.86,0.82
146,0.1811,31.22,30.08,0.86,0.82
147,0.1811,31.15,30.0,0.86,0.82
148,0.1811,31.14,29.99,0.86,0.82
149,0.1811,31.19,30.05,0.86,0.82
150,0.1811,31.18,30.03,0.86,0.82
151,0.1811,31.18,30.03,0.86,0.82
152,0.1811,31.19,30.04,0.86,0.82
153,0.1811,31.17,30.02,0.86,0.82
154,0.1811,31.18,30.04,0.86,0.82
155,0.1811,31.16,30.01,0.86,0.82
156,0.1811,31.14,29.99,0.86,0.82
157,0.1811,31.17,30.02,0.86,0.82
158,0.1811,31.18,30.04,0.86,0.82
159,0.1811,31.19,30.04,0.86,0.82
160,0.181,31.16,30.01,0.86,0.82
161,0.181,31.15,29.99,0.86,0.82
162,0.1811,31.16,30.01,0.86,0.82
163,0.181,31.18,30.03,0.86,0.82
164,0.181,31.18,30.02,0.86,0.82
165,0.181,31.19,30.04,0.86,0.82
166,0.181,31.16,30.01,0.86,0.82
167,0.181,31.17,30.02,0.86,0.82
168,0.181,31.19,30.03,0.86,0.82
169,0.181,31.17,30.02,0.86,0.82
170,0.181,31.17,30.02,0.86,0.82
171,0.181,31.18,30.03,0.86,0.82
172,0.181,31.19,30.04,0.86,0.82
173,0.181,31.18,30.03,0.86,0.82
174,0.181,31.17,30.02,0.86,0.82
175,0.181,31.18,30.02,0.86,0.82
176,0.181,31.18,30.03,0.86,0.82
177,0.181,31.18,30.03,0.86,0.82
178,0.181,31.16,30.0,0.86,0.82
179,0.181,31.16,30.0,0.86,0.82
180,0.181,31.17,30.02,0.86,0.82
181,0.181,31.18,30.03,0.86,0.82
182,0.181,31.19,30.04,0.86,0.82
183,0.181,31.2,30.05,0.86,0.82
184,0.181,31.18,30.03,0.86,0.82
185,0.181,31.18,30.02,0.86,0.82
186,0.181,31.19,30.04,0.86,0.82
187,0.181,31.19,30.03,0.86,0.82
188,0.181,31.17,30.01,0.86,0.82
189,0.181,31.18,30.03,0.86,0.82
190,0.181,31.18,30.02,0.86,0.82
191,0.181,31.2,30.05,0.86,0.82
192,0.181,31.2,30.05,0.86,0.82
193,0.181,31.18,30.02,0.86,0.82
194,0.181,31.19,30.04,0.86,0.82
195,0.181,31.19,30.04,0.86,0.82
196,0.181,31.18,30.02,0.86,0.82
197,0.181,31.18,30.03,0.86,0.82
198,0.181,31.18,30.02,0.86,0.82
199,0.181,31.18,30.02,0.86,0.82
200,0.1809,31.18,30.03,0.86,0.82
201,0.1809,31.17,30.02,0.86,0.82
202,0.1809,31.18,30.03,0.86,0.82
203,0.1809,31.18,30.02,0.86,0.82
204,0.1809,31.18,30.03,0.86,0.82
205,0.1809,31.18,30.02,0.86,0.82
206,0.1809,31.19,30.04,0.86,0.82
207,0.1809,31.18,30.03,0.86,0.82
208,0.1809,31.19,30.03,0.86,0.82
209,0.1809,31.18,30.02,0.86,0.82
210,0.1809,31.19,30.04,0.86,0.82
211,0.1809,31.18,30.02,0.86,0.82
212,0.1809,31.19,30.03,0.86,0.82
213,0.1809,31.17,30.01,0.86,0.82
214,0.1809,31.2,30.04,0.86,0.82
215,0.1809,31.19,30.03,0.86,0.82
216,0.1809,31.18,30.03,0.86,0.82
217,0.1809,31.18,30.02,0.86,0.82
218,0.1809,31.18,30.03,0.86,0.82
219,0.1809,31.17,30.02,0.86,0.82
