Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
91,0.1816,31.15,30.02,0.86,0.82
92,0.1816,31.15,30.0,0.86,0.82
93,0.1816,31.19,30.05,0.86,0.82
94,0.1816,31.15,30.02,0.86,0.82
95,0.1815,31.13,29.98,0.86,0.82
96,0.1815,31.13,30.0,0.86,0.82
97,0.1815,31.12,29.96,0.86,0.82
98,0.1815,31.15,30.0,0.86,0.82
99,0.1815,31.14,30.0,0.86,0.82
100,0.1814,31.16,30.01,0.86,0.82
101,0.1814,31.16,30.02,0.86,0.82
102,0.1814,31.14,29.99,0.86,0.82
103,0.1814,31.15,30.01,0.86,0.82
104,0.1814,31.16,30.02,0.86,0.82
105,0.1814,31.17,30.03,0.86,0.82
106,0.1814,31.21,30.07,0.86,0.82
107,0.1814,31.14,29.99,0.86,0.82
108,0.1814,31.13,29.98,0.86,0.82
109,0.1813,31.18,30.04,0.86,0.82
110,0.1813,31.18,30.04,0.86,0.82
111,0.1813,31.17,30.02,0.86,0.82
112,0.1813,31.18,30.03,0.86,0.82
113,0.1813,31.16,30.01,0.86,0.82
114,0.1813,31.18,30.05,0.86,0.81
115,0.1813,31.16,30.01,0.86,0.82
116,0.1813,31.11,29.95,0.86,0.82
117,0.1813,31.16,30.01,0.86,0.82
118,0.1813,31.18,30.04,0.86,0.82
119,0.1813,31.18,30.04,0.86,0.82
120,0.1813,31.15,30.01,0.86,0.82
121,0.1813,31.12,29.97,0.86,0.82
122,0.1813,31.15,30.0,0.86,0.82
123,0.1813,31.17,30.03,0.86,0.82
124,0.1813,31.16,30.01,0.86,0.82
125,0.1812,31.19,30.05,0.86,0.82
126,0.1812,31.14,29.99,0.86,0.82
127,0.1812,31.17,30.02,0.86,0.82
128,0.1812,31.18,30.04,0.86,0.82
129,0.1812,31.16,30.01,0.86,0.82
130,0.1812,31.16,30.01,0.86,0.82
