Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
81,0.3307,28.14,27.25,0.77,0.67
82,0.3306,28.17,27.31,0.78,0.67
83,0.3305,28.17,27.33,0.78,0.67
84,0.3305,28.15,27.24,0.77,0.67
85,0.3305,28.11,27.29,0.77,0.67
86,0.3304,28.19,27.35,0.78,0.67
87,0.3304,28.17,27.32,0.77,0.67
88,0.3303,28.22,27.39,0.78,0.67
89,0.3303,28.09,27.12,0.77,0.67
90,0.3303,28.2,27.35,0.78,0.67
91,0.3302,28.17,27.3,0.77,0.67
92,0.3302,28.17,27.35,0.78,0.67
93,0.3301,28.22,27.4,0.78,0.67
94,0.33,28.19,27.32,0.77,0.67
95,0.33,28.2,27.34,0.78,0.67
96,0.33,28.14,27.25,0.77,0.67
97,0.33,28.22,27.4,0.78,0.67
98,0.33,28.2,27.37,0.78,0.67
99,0.3299,28.24,27.42,0.78,0.67
100,0.3297,28.21,27.37,0.78,0.67
101,0.3296,28.25,27.43,0.78,0.67
102,0.3296,28.19,27.35,0.78,0.67
103,0.3296,28.19,27.34,0.78,0.67
104,0.3296,28.21,27.39,0.78,0.67
105,0.3296,28.18,27.35,0.78,0.67
106,0.3296,28.22,27.4,0.78,0.67
107,0.3295,28.14,27.24,0.77,0.67
108,0.3295,28.21,27.39,0.78,0.67
109,0.3295,28.2,27.38,0.78,0.67
110,0.3295,28.15,27.29,0.77,0.67
111,0.3295,28.2,27.38,0.78,0.67
112,0.3294,28.23,27.42,0.78,0.67
113,0.3294,28.23,27.41,0.78,0.67
114,0.3294,28.19,27.34,0.78,0.67
115,0.3294,28.19,27.34,0.78,0.67
116,0.3294,28.17,27.33,0.78,0.67
117,0.3294,28.23,27.4,0.78,0.67
118,0.3294,28.21,27.39,0.78,0.67
119,0.3293,28.16,27.32,0.77,0.67
120,0.3293,28.23,27.41,0.78,0.67
121,0.3293,28.2,27.35,0.78,0.67
122,0.3293,28.18,27.33,0.77,0.67
123,0.3292,28.23,27.41,0.78,0.67
124,0.3292,28.2,27.39,0.78,0.67
125,0.3293,28.23,27.4,0.78,0.67
126,0.3292,28.19,27.35,0.78,0.67
127,0.3292,28.2,27.35,0.78,0.67
128,0.3292,28.2,27.37,0.78,0.67
129,0.3292,28.23,27.42,0.78,0.67
130,0.3292,28.21,27.38,0.78,0.67
131,0.3292,28.21,27.39,0.78,0.67
132,0.3292,28.2,27.35,0.78,0.67
133,0.3291,28.23,27.39,0.78,0.67
134,0.3291,28.19,27.37,0.78,0.67
135,0.3291,28.19,27.35,0.78,0.67
136,0.3291,28.22,27.4,0.78,0.67
137,0.3291,28.22,27.38,0.78,0.67
138,0.3291,28.19,27.36,0.78,0.67
139,0.329,28.17,27.33,0.78,0.67
140,0.329,28.19,27.34,0.78,0.67
141,0.3291,28.21,27.37,0.78,0.67
142,0.329,28.21,27.38,0.78,0.67
143,0.329,28.19,27.35,0.78,0.67
144,0.329,28.19,27.37,0.78,0.67
145,0.329,28.22,27.4,0.78,0.67
146,0.329,28.23,27.4,0.78,0.67
147,0.329,28.22,27.39,0.78,0.67
148,0.329,28.23,27.4,0.78,0.67
149,0.3289,28.21,27.39,0.78,0.67
150,0.3288,28.19,27.33,0.78,0.67
151,0.3288,28.2,27.36,0.78,0.67
152,0.3288,28.23,27.41,0.78,0.67
153,0.3288,28.22,27.41,0.78,0.67
154,0.3288,28.24,27.41,0.78,0.67
155,0.3288,28.21,27.38,0.78,0.67
156,0.3288,28.22,27.38,0.78,0.67
157,0.3288,28.22,27.4,0.78,0.67
158,0.3288,28.2,27.37,0.78,0.67
159,0.3288,28.2,27.35,0.78,0.67
160,0.3288,28.22,27.4,0.78,0.67
161,0.3288,28.23,27.41,0.78,0.67
162,0.3288,28.22,27.4,0.78,0.67
163,0.3288,28.22,27.4,0.78,0.67
164,0.3288,28.22,27.37,0.78,0.67
165,0.3287,28.24,27.4,0.78,0.67
166,0.3287,28.22,27.4,0.78,0.67
167,0.3287,28.22,27.39,0.78,0.67
168,0.3287,28.21,27.38,0.78,0.67
169,0.3287,28.23,27.41,0.78,0.67
