Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
1,0.2119,30.74,29.61,0.85,0.81
2,0.1921,30.83,29.66,0.86,0.81
3,0.1899,30.89,29.76,0.86,0.81
4,0.1887,30.91,29.8,0.86,0.81
5,0.1879,30.91,29.78,0.86,0.81
6,0.1871,30.92,29.82,0.86,0.81
7,0.1867,30.95,29.81,0.86,0.81
8,0.1863,30.97,29.85,0.86,0.81
9,0.1859,30.95,29.81,0.86,0.81
10,0.1857,31.0,29.89,0.86,0.81
11,0.1855,31.0,29.87,0.86,0.81
12,0.1853,30.98,29.89,0.86,0.81
13,0.1851,31.01,29.88,0.86,0.81
14,0.1849,31.04,29.93,0.86,0.81
15,0.1847,31.07,29.96,0.86,0.81
16,0.1846,31.11,30.0,0.86,0.81
17,0.1845,31.0,29.87,0.86,0.81
18,0.1844,31.01,29.87,0.86,0.81
19,0.1843,31.08,29.98,0.86,0.81
20,0.1842,31.08,29.98,0.86,0.81
21,0.1841,31.06,29.95,0.86,0.81
22,0.184,31.06,29.93,0.86,0.81
23,0.1839,31.08,29.97,0.86,0.81
24,0.1838,31.09,29.99,0.86,0.81
25,0.1837,31.07,29.97,0.86,0.81
26,0.1836,31.01,29.9,0.86,0.81
27,0.1836,31.07,29.96,0.86,0.81
28,0.1835,31.1,30.0,0.86,0.81
29,0.1834,31.11,30.0,0.86,0.81
30,0.1834,31.08,29.96,0.86,0.81
31,0.1833,31.06,29.94,0.86,0.81
32,0.1832,31.05,29.94,0.86,0.81
33,0.1832,31.11,30.02,0.86,0.81
34,0.1831,31.07,29.92,0.86,0.81
35,0.1831,31.14,30.02,0.86,0.81
36,0.183,31.05,29.93,0.86,0.81
37,0.183,31.1,29.98,0.86,0.81
38,0.1829,31.13,30.02,0.86,0.81
39,0.1829,31.09,29.97,0.86,0.81
40,0.1828,31.08,29.95,0.86,0.81
41,0.1828,31.11,29.99,0.86,0.81
42,0.1827,31.14,30.02,0.86,0.81
43,0.1827,31.12,30.01,0.86,0.81
44,0.1827,31.07,29.93,0.86,0.81
45,0.1826,31.13,30.02,0.86,0.81
46,0.1825,31.13,30.01,0.86,0.81
47,0.1825,31.1,29.97,0.86,0.82
48,0.1825,31.05,29.91,0.86,0.82
49,0.1824,31.08,29.96,0.86,0.81
50,0.1822,31.1,29.97,0.86,0.82
51,0.1822,31.12,29.99,0.86,0.81
52,0.1822,31.13,30.01,0.86,0.82
53,0.1822,31.13,29.99,0.86,0.81
54,0.1821,31.09,29.95,0.86,0.82
55,0.1821,31.13,30.0,0.86,0.81
56,0.1821,31.17,30.06,0.86,0.82
57,0.1821,31.14,30.01,0.86,0.82
58,0.1821,31.11,29.99,0.86,0.82
59,0.1821,31.12,29.99,0.86,0.81
60,0.1821,31.13,30.0,0.86,0.81
61,0.182,31.16,30.04,0.86,0.82
62,0.182,31.16,30.02,0.86,0.81
63,0.182,31.15,30.03,0.86,0.81
64,0.182,31.13,29.98,0.86,0.82
65,0.182,31.15,30.02,0.86,0.82
66,0.1819,31.11,29.98,0.86,0.82
67,0.1819,31.15,30.03,0.86,0.82
68,0.1819,31.13,30.0,0.86,0.82
69,0.1819,31.13,30.0,0.86,0.82
70,0.1819,31.16,30.04,0.86,0.82
71,0.1819,31.16,30.03,0.86,0.82
72,0.1818,31.15,30.01,0.86,0.82
73,0.1818,31.11,29.95,0.86,0.82
74,0.1818,31.15,30.01,0.86,0.82
75,0.1818,31.14,30.0,0.86,0.81
76,0.1818,31.15,30.02,0.86,0.82
77,0.1818,31.14,29.99,0.86,0.82
78,0.1818,31.18,30.05,0.86,0.81
79,0.1817,31.17,30.03,0.86,0.81
80,0.1817,31.17,30.03,0.86,0.82
81,0.1817,31.1,29.95,0.86,0.81
82,0.1817,31.15,30.02,0.86,0.82
83,0.1817,31.13,29.99,0.86,0.82
84,0.1817,31.17,30.04,0.86,0.82
85,0.1816,31.17,30.03,0.86,0.82
86,0.1816,31.15,30.01,0.86,0.82
87,0.1816,31.14,30.0,0.86,0.82
88,0.1816,31.16,30.03,0.86,0.81
89,0.1816,31.17,30.04,0.86,0.82
90,0.1816,31.17,30.03,0.86,0.82
