Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
1,0.3704,27.43,26.45,0.75,0.65
2,0.3529,27.49,26.76,0.76,0.65
3,0.3487,27.35,26.8,0.76,0.66
4,0.3465,27.72,26.53,0.76,0.65
5,0.3447,27.59,26.98,0.76,0.66
6,0.3434,27.64,26.98,0.76,0.66
7,0.3425,27.82,27.02,0.77,0.66
8,0.3417,27.88,27.13,0.77,0.66
9,0.3411,27.8,26.62,0.76,0.66
10,0.3406,27.72,26.97,0.77,0.66
11,0.3402,27.92,27.13,0.77,0.66
12,0.3397,27.83,27.27,0.77,0.67
13,0.3393,27.86,27.3,0.77,0.66
14,0.3388,27.95,27.02,0.77,0.66
15,0.3386,27.88,27.1,0.77,0.66
16,0.3382,27.92,26.95,0.77,0.66
17,0.338,27.92,27.22,0.77,0.66
18,0.3378,27.95,27.24,0.77,0.67
19,0.3374,27.96,27.31,0.77,0.67
20,0.3371,27.93,27.06,0.77,0.66
21,0.3368,27.99,27.22,0.77,0.67
22,0.3368,28.01,27.22,0.77,0.67
23,0.3365,28.06,27.1,0.77,0.66
24,0.3364,28.01,27.23,0.77,0.67
25,0.3361,28.03,27.25,0.77,0.67
26,0.3359,27.96,27.23,0.77,0.67
27,0.3358,27.88,26.7,0.77,0.66
28,0.3356,27.98,27.25,0.77,0.67
29,0.3355,28.03,27.29,0.77,0.67
30,0.3353,28.02,27.14,0.77,0.66
31,0.3352,28.0,27.3,0.77,0.67
32,0.335,28.0,27.31,0.77,0.67
33,0.3349,28.05,27.29,0.77,0.67
34,0.3347,28.05,27.18,0.77,0.67
35,0.3346,28.06,27.12,0.77,0.66
36,0.3345,28.02,27.13,0.77,0.67
37,0.3343,28.13,27.25,0.77,0.67
38,0.3342,28.04,27.29,0.77,0.67
39,0.334,27.96,27.12,0.77,0.67
40,0.3339,28.1,27.31,0.77,0.67
41,0.3339,28.02,27.12,0.77,0.67
42,0.3337,28.06,27.23,0.77,0.67
43,0.3335,28.1,27.31,0.77,0.67
44,0.3334,28.04,27.32,0.77,0.67
45,0.3333,28.12,27.29,0.77,0.67
46,0.3332,28.05,27.12,0.77,0.66
47,0.333,28.14,27.18,0.77,0.67
48,0.333,28.08,27.33,0.77,0.67
49,0.3329,28.13,27.36,0.77,0.67
50,0.3325,28.13,27.3,0.77,0.67
51,0.3324,28.13,27.32,0.77,0.67
52,0.3323,28.14,27.25,0.77,0.67
53,0.3323,28.16,27.31,0.77,0.67
54,0.3322,28.1,27.27,0.77,0.67
55,0.3321,28.1,27.25,0.77,0.67
56,0.3321,28.15,27.32,0.77,0.67
57,0.332,28.14,27.25,0.77,0.67
58,0.3319,28.15,27.3,0.77,0.67
59,0.3318,28.1,27.2,0.77,0.67
60,0.3318,28.13,27.22,0.77,0.67
61,0.3318,28.12,27.27,0.77,0.67
62,0.3317,28.15,27.31,0.77,0.67
63,0.3316,28.13,27.24,0.77,0.67
64,0.3316,28.11,27.3,0.77,0.67
65,0.3315,28.16,27.33,0.78,0.67
66,0.3314,28.14,27.31,0.77,0.67
67,0.3314,28.17,27.33,0.77,0.67
68,0.3314,28.16,27.33,0.77,0.67
69,0.3312,28.13,27.3,0.77,0.67
70,0.3312,28.08,27.05,0.77,0.66
71,0.3312,28.14,27.24,0.77,0.67
72,0.3311,28.19,27.36,0.78,0.67
73,0.3311,28.2,27.38,0.78,0.67
74,0.331,28.21,27.38,0.78,0.67
75,0.3309,28.1,27.26,0.77,0.67
76,0.3309,28.16,27.27,0.77,0.67
77,0.3308,28.18,27.33,0.77,0.67
78,0.3308,28.15,27.31,0.77,0.67
79,0.3307,28.08,27.07,0.77,0.66
80,0.3306,28.17,27.34,0.78,0.67
