Epoch,Avg. Loss
1,0.0463
2,0.0401
3,0.0356
4,0.035
5,0.034
6,0.0315
7,0.0295
8,0.03
9,0.0284
10,0.0339
11,0.0278
12,0.0279
13,0.0283
14,0.0276
15,0.0278
16,0.0279
17,0.0271
18,0.0267
19,0.0301
20,0.0287
21,0.0261
22,0.0271
23,0.0261
24,0.0264
25,0.0259
26,0.0273
27,0.0257
28,0.0287
29,0.026
30,0.0282
31,0.0263
32,0.0257
33,0.0269
34,0.0262
35,0.0253
36,0.0255
37,0.0261
38,0.0258
39,0.0253
40,0.025
41,0.0252
42,0.0251
43,0.0253
44,0.0255
45,0.025
46,0.0248
47,0.0267
48,0.0261
49,0.0254
50,0.0248
51,0.0244
52,0.0244
53,0.0244
54,0.0244
55,0.0244
56,0.0244
57,0.0243
58,0.0243
59,0.0243
60,0.0243
61,0.0243
62,0.0243
63,0.0243
64,0.0243
65,0.0243
66,0.0243
67,0.0242
68,0.0243
69,0.0242
70,0.0242
71,0.0242
72,0.0242
73,0.0242
74,0.0242
75,0.0242
76,0.0242
77,0.0242
78,0.0242
79,0.0242
80,0.0242
81,0.0242
82,0.0242
83,0.0242
84,0.0242
85,0.0242
86,0.0242
87,0.0242
88,0.0242
89,0.0241
90,0.0242
91,0.0241
92,0.0242
93,0.0242
94,0.0241
95,0.0241
96,0.0241
97,0.0241
98,0.0241
99,0.0241
100,0.0241
101,0.024
102,0.024
103,0.024
104,0.024
105,0.024
106,0.024
107,0.024
108,0.024
109,0.024
110,0.024
111,0.024
112,0.024
113,0.024
114,0.024
115,0.024
116,0.024
117,0.024
118,0.024
119,0.0239
120,0.024
121,0.024
122,0.0239
123,0.024
124,0.024
125,0.0239
126,0.024
127,0.0239
128,0.024
129,0.0239
130,0.0239
131,0.0239
132,0.0239
133,0.0239
134,0.0239
135,0.0239
136,0.0239
137,0.0239
138,0.024
139,0.0239
140,0.0239
141,0.0239
142,0.0239
143,0.0239
144,0.0239
145,0.0239
146,0.0239
147,0.0239
148,0.0239
149,0.0239
150,0.0239
151,0.0239
152,0.0239
153,0.0239
154,0.0239
155,0.0239
156,0.0239
157,0.0239
158,0.0239
159,0.0239
160,0.0238
161,0.0239
162,0.0239
163,0.0238
164,0.0238
165,0.0238
166,0.0239
167,0.0239
168,0.0238
169,0.0238
170,0.0238
171,0.0238
172,0.0238
173,0.0239
174,0.0238
175,0.0238
176,0.0238
177,0.0238
178,0.0238
179,0.0238
180,0.0238
181,0.0238
182,0.0238
183,0.0238
184,0.0238
185,0.0238
186,0.0238
187,0.0238
188,0.0238
189,0.0238
190,0.0238
191,0.0238
192,0.0238
193,0.0238
194,0.0238
195,0.0238
196,0.0238
197,0.0238
198,0.0238
199,0.0238
200,0.0238
201,0.0238
202,0.0238
203,0.0238
204,0.0238
205,0.0238
206,0.0238
207,0.0238
208,0.0238
209,0.0238
210,0.0238
211,0.0238
212,0.0238
213,0.0238
214,0.0238
215,0.0238
216,0.0238
217,0.0238
218,0.0238
219,0.0238
220,0.0238
221,0.0238
222,0.0238
223,0.0238
224,0.0238
225,0.0238
226,0.0238
227,0.0238
228,0.0238
229,0.0238
230,0.0238
231,0.0238
232,0.0238
233,0.0238
234,0.0238
235,0.0238
236,0.0238
237,0.0238
238,0.0238
239,0.0238
240,0.0238
241,0.0238
242,0.0238
243,0.0238
244,0.0238
245,0.0238
246,0.0238
247,0.0238
248,0.0238
249,0.0238
250,0.0238
251,0.0238
252,0.0238
253,0.0238
254,0.0238
255,0.0238
256,0.0238
257,0.0238
258,0.0238
259,0.0238
260,0.0238
261,0.0238
262,0.0238
263,0.0238
264,0.0238
265,0.0238
266,0.0237
267,0.0238
268,0.0238
269,0.0238
270,0.0238
271,0.0238
272,0.0238
273,0.0238
274,0.0238
275,0.0238
276,0.0238
277,0.0238
278,0.0238
279,0.0238
280,0.0238
281,0.0238
282,0.0237
283,0.0238
284,0.0238
285,0.0238
286,0.0237
287,0.0238
288,0.0238
289,0.0238
290,0.0237
291,0.0238
292,0.0237
293,0.0238
294,0.0238
295,0.0238
296,0.0238
297,0.0238
298,0.0237
299,0.0237
300,0.0237
301,0.0237
302,0.0237
303,0.0237
304,0.0237
305,0.0237
306,0.0237
307,0.0237
308,0.0237
309,0.0237
310,0.0237
311,0.0237
312,0.0237
313,0.0237
314,0.0237
315,0.0237
316,0.0237
317,0.0237
318,0.0237
319,0.0237
320,0.0237
321,0.0237
322,0.0237
323,0.0237
324,0.0237
325,0.0237
326,0.0237
327,0.0237
328,0.0237
329,0.0237
330,0.0237
331,0.0237
332,0.0237
333,0.0237
334,0.0237
335,0.0237
336,0.0237
337,0.0237
338,0.0237
339,0.0237
340,0.0237
341,0.0237
342,0.0237
343,0.0237
344,0.0237
345,0.0237
346,0.0237
347,0.0237
348,0.0237
349,0.0237
350,0.0237
351,0.0237
352,0.0237
353,0.0237
354,0.0237
355,0.0237
356,0.0237
357,0.0237
358,0.0237
359,0.0237
360,0.0237
361,0.0237
362,0.0237
363,0.0237
364,0.0237
365,0.0237
366,0.0237
367,0.0237
368,0.0237
369,0.0237
370,0.0237
371,0.0237
372,0.0237
373,0.0237
374,0.0237
375,0.0237
376,0.0237
377,0.0237
378,0.0237
379,0.0237
380,0.0237
381,0.0237
382,0.0237
383,0.0237
384,0.0237
385,0.0237
386,0.0237
387,0.0237
388,0.0237
389,0.0237
390,0.0237
391,0.0237
392,0.0237
393,0.0237
394,0.0237
395,0.0237
396,0.0237
397,0.0237
398,0.0237
399,0.0237
400,0.0237
401,0.0237
402,0.0237
403,0.0237
404,0.0237
405,0.0237
406,0.0237
407,0.0237
408,0.0237
409,0.0237
410,0.0237
411,0.0237
412,0.0237
413,0.0237
