Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
1,0.3857,27.25,26.47,0.74,0.63
2,0.3575,27.12,26.55,0.75,0.65
3,0.3522,27.17,26.58,0.76,0.65
4,0.3492,27.58,26.01,0.76,0.65
5,0.3469,27.61,26.98,0.76,0.66
6,0.3456,27.66,26.82,0.76,0.66
7,0.3441,27.85,26.64,0.77,0.66
8,0.3433,27.92,27.0,0.77,0.66
9,0.3421,27.77,26.31,0.76,0.65
10,0.3419,27.72,26.86,0.77,0.66
11,0.3412,27.98,26.98,0.77,0.66
12,0.3405,27.87,27.27,0.77,0.66
13,0.34,27.86,27.28,0.77,0.66
14,0.3396,27.98,26.85,0.77,0.66
15,0.3393,27.91,27.03,0.77,0.66
16,0.3389,27.95,26.82,0.77,0.65
17,0.3386,28.0,27.18,0.77,0.66
18,0.3385,27.97,27.18,0.77,0.66
19,0.3379,28.02,27.26,0.77,0.66
20,0.3377,27.95,26.92,0.77,0.66
21,0.3375,28.03,27.13,0.77,0.66
22,0.3375,28.06,27.23,0.77,0.67
23,0.337,28.09,27.01,0.77,0.66
24,0.337,28.03,27.16,0.77,0.66
25,0.3367,28.07,27.26,0.77,0.67
26,0.3365,28.01,27.22,0.77,0.67
27,0.3363,27.87,26.49,0.77,0.65
28,0.3361,28.03,27.24,0.77,0.67
29,0.336,28.06,27.28,0.77,0.67
30,0.3358,28.07,27.13,0.77,0.66
31,0.3356,28.06,27.3,0.77,0.67
32,0.3356,28.05,27.3,0.77,0.67
33,0.3354,28.08,27.25,0.77,0.67
34,0.3353,28.08,27.11,0.77,0.66
35,0.3351,28.07,27.05,0.77,0.66
36,0.3351,28.05,27.13,0.77,0.66
37,0.3349,28.15,27.17,0.77,0.67
38,0.3347,28.08,27.27,0.77,0.67
39,0.3347,28.0,27.06,0.77,0.66
40,0.3346,28.13,27.29,0.77,0.67
41,0.3345,28.04,27.08,0.77,0.66
42,0.3342,28.09,27.2,0.77,0.67
43,0.3341,28.14,27.29,0.77,0.67
44,0.3341,28.07,27.32,0.77,0.67
45,0.334,28.14,27.24,0.77,0.67
46,0.334,28.07,27.09,0.77,0.66
47,0.3337,28.16,27.16,0.77,0.67
48,0.3337,28.12,27.3,0.77,0.67
49,0.3337,28.12,27.33,0.77,0.67
50,0.3331,28.15,27.26,0.77,0.67
51,0.3331,28.15,27.3,0.77,0.67
52,0.333,28.15,27.2,0.77,0.67
53,0.333,28.16,27.29,0.77,0.67
54,0.333,28.12,27.27,0.77,0.67
55,0.3329,28.11,27.23,0.77,0.67
56,0.3329,28.15,27.3,0.77,0.67
57,0.3328,28.14,27.2,0.77,0.67
58,0.3328,28.16,27.29,0.77,0.67
59,0.3326,28.11,27.16,0.77,0.67
60,0.3326,28.14,27.18,0.77,0.67
61,0.3327,28.13,27.23,0.77,0.67
62,0.3326,28.15,27.29,0.77,0.67
63,0.3325,28.13,27.2,0.77,0.67
64,0.3325,28.12,27.29,0.77,0.67
65,0.3325,28.17,27.31,0.78,0.67
66,0.3324,28.13,27.27,0.77,0.67
67,0.3324,28.18,27.3,0.77,0.67
68,0.3324,28.15,27.3,0.77,0.67
69,0.3322,28.15,27.29,0.77,0.67
70,0.3322,28.09,27.02,0.77,0.66
71,0.3322,28.16,27.21,0.77,0.67
72,0.3322,28.18,27.34,0.78,0.67
73,0.3321,28.19,27.36,0.78,0.67
74,0.3321,28.21,27.35,0.78,0.67
75,0.332,28.11,27.23,0.77,0.67
76,0.332,28.17,27.2,0.77,0.67
77,0.332,28.18,27.29,0.77,0.67
78,0.3319,28.17,27.29,0.78,0.67
79,0.3318,28.12,27.08,0.77,0.66
80,0.3318,28.17,27.33,0.78,0.67
81,0.3317,28.17,27.35,0.78,0.67
82,0.3317,28.17,27.32,0.78,0.67
83,0.3317,28.21,27.35,0.78,0.67
