Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
161,0.3296,28.23,27.33,0.78,0.67
162,0.3296,28.24,27.37,0.78,0.67
163,0.3295,28.25,27.39,0.78,0.67
164,0.3295,28.21,27.34,0.78,0.67
165,0.3295,28.23,27.38,0.78,0.67
166,0.3295,28.24,27.39,0.78,0.67
167,0.3295,28.25,27.39,0.78,0.67
168,0.3295,28.24,27.39,0.78,0.67
169,0.3295,28.23,27.32,0.78,0.67
170,0.3295,28.25,27.4,0.78,0.67
171,0.3295,28.24,27.37,0.78,0.67
172,0.3295,28.24,27.4,0.78,0.67
173,0.3295,28.26,27.41,0.78,0.67
174,0.3295,28.24,27.36,0.78,0.67
175,0.3295,28.25,27.4,0.78,0.67
176,0.3295,28.25,27.35,0.78,0.67
177,0.3295,28.25,27.4,0.78,0.67
178,0.3295,28.23,27.38,0.78,0.67
179,0.3294,28.28,27.43,0.78,0.67
180,0.3295,28.26,27.4,0.78,0.67
181,0.3294,28.27,27.42,0.78,0.67
182,0.3295,28.25,27.39,0.78,0.67
183,0.3294,28.25,27.37,0.78,0.67
184,0.3294,28.25,27.41,0.78,0.67
185,0.3294,28.24,27.37,0.78,0.67
186,0.3294,28.25,27.41,0.78,0.67
187,0.3294,28.23,27.33,0.78,0.67
188,0.3294,28.24,27.38,0.78,0.67
189,0.3294,28.25,27.39,0.78,0.67
190,0.3294,28.23,27.34,0.78,0.67
191,0.3294,28.23,27.39,0.78,0.67
192,0.3294,28.25,27.41,0.78,0.67
193,0.3294,28.26,27.41,0.78,0.67
194,0.3294,28.23,27.37,0.78,0.67
195,0.3293,28.23,27.37,0.78,0.67
196,0.3294,28.23,27.36,0.78,0.67
197,0.3293,28.25,27.39,0.78,0.67
198,0.3293,28.25,27.4,0.78,0.67
199,0.3293,28.22,27.35,0.78,0.67
200,0.3293,28.25,27.4,0.78,0.67
201,0.3293,28.25,27.39,0.78,0.67
202,0.3293,28.24,27.37,0.78,0.67
203,0.3293,28.26,27.41,0.78,0.67
204,0.3293,28.25,27.4,0.78,0.67
205,0.3293,28.26,27.4,0.78,0.67
206,0.3293,28.24,27.38,0.78,0.67
207,0.3293,28.25,27.38,0.78,0.67
208,0.3293,28.25,27.39,0.78,0.67
209,0.3293,28.25,27.4,0.78,0.67
210,0.3293,28.25,27.39,0.78,0.67
211,0.3293,28.24,27.38,0.78,0.67
212,0.3293,28.25,27.38,0.78,0.67
213,0.3293,28.25,27.39,0.78,0.67
214,0.3293,28.24,27.39,0.78,0.67
215,0.3292,28.24,27.38,0.78,0.67
216,0.3292,28.25,27.41,0.78,0.67
217,0.3292,28.26,27.4,0.78,0.67
218,0.3292,28.25,27.4,0.78,0.67
219,0.3292,28.24,27.38,0.78,0.67
220,0.3292,28.25,27.38,0.78,0.67
221,0.3292,28.25,27.39,0.78,0.67
222,0.3292,28.25,27.4,0.78,0.67
223,0.3292,28.24,27.38,0.78,0.67
224,0.3292,28.24,27.39,0.78,0.67
225,0.3292,28.25,27.38,0.78,0.67
226,0.3292,28.25,27.4,0.78,0.67
227,0.3292,28.25,27.4,0.78,0.67
228,0.3292,28.26,27.4,0.78,0.67
229,0.3292,28.26,27.39,0.78,0.67
230,0.3292,28.24,27.35,0.78,0.67
231,0.3292,28.24,27.37,0.78,0.67
232,0.3292,28.26,27.41,0.78,0.67
233,0.3292,28.25,27.4,0.78,0.67
234,0.3292,28.26,27.41,0.78,0.67
235,0.3292,28.26,27.4,0.78,0.67
236,0.3292,28.26,27.39,0.78,0.67
237,0.3292,28.25,27.4,0.78,0.67
238,0.3292,28.24,27.37,0.78,0.67
239,0.3292,28.25,27.38,0.78,0.67
240,0.3292,28.25,27.4,0.78,0.67
241,0.3292,28.26,27.41,0.78,0.67
242,0.3292,28.25,27.4,0.78,0.67
243,0.3292,28.25,27.39,0.78,0.67
244,0.3292,28.25,27.38,0.78,0.67
