Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
151,0.1817,31.15,30.01,0.86,0.82
152,0.1817,31.15,29.99,0.86,0.82
153,0.1817,31.16,30.0,0.86,0.82
154,0.1817,31.15,30.0,0.86,0.82
155,0.1817,31.14,29.99,0.86,0.82
156,0.1817,31.14,29.99,0.86,0.82
157,0.1817,31.14,29.97,0.86,0.82
158,0.1817,31.15,29.99,0.86,0.82
159,0.1817,31.15,30.0,0.86,0.82
160,0.1817,31.15,29.98,0.86,0.82
161,0.1817,31.15,30.0,0.86,0.82
162,0.1817,31.14,29.99,0.86,0.82
163,0.1817,31.15,29.98,0.86,0.82
164,0.1817,31.15,30.0,0.86,0.82
165,0.1817,31.15,29.99,0.86,0.82
166,0.1817,31.17,30.01,0.86,0.82
167,0.1817,31.14,29.99,0.86,0.82
168,0.1817,31.14,29.98,0.86,0.82
169,0.1817,31.15,29.99,0.86,0.82
170,0.1817,31.15,30.0,0.86,0.82
171,0.1817,31.15,29.99,0.86,0.82
172,0.1817,31.15,30.0,0.86,0.82
173,0.1817,31.14,29.98,0.86,0.82
174,0.1817,31.15,30.0,0.86,0.81
175,0.1817,31.14,29.99,0.86,0.82
176,0.1817,31.13,29.96,0.86,0.82
177,0.1817,31.14,29.99,0.86,0.82
178,0.1817,31.15,30.0,0.86,0.82
179,0.1817,31.15,29.99,0.86,0.82
180,0.1817,31.14,29.98,0.86,0.82
181,0.1817,31.14,29.98,0.86,0.82
182,0.1817,31.15,29.99,0.86,0.82
183,0.1817,31.15,29.99,0.86,0.82
184,0.1816,31.15,29.99,0.86,0.82
185,0.1816,31.15,29.99,0.86,0.82
186,0.1816,31.14,29.99,0.86,0.82
187,0.1816,31.15,29.99,0.86,0.82
188,0.1816,31.15,29.99,0.86,0.82
189,0.1816,31.15,29.99,0.86,0.81
190,0.1816,31.15,29.99,0.86,0.82
191,0.1816,31.15,30.0,0.86,0.82
192,0.1816,31.16,30.01,0.86,0.82
193,0.1816,31.15,30.0,0.86,0.82
194,0.1816,31.15,29.99,0.86,0.82
195,0.1816,31.16,30.0,0.86,0.82
196,0.1816,31.15,29.98,0.86,0.82
197,0.1816,31.15,29.99,0.86,0.82
198,0.1816,31.13,29.97,0.86,0.82
199,0.1816,31.14,29.97,0.86,0.82
200,0.1816,31.15,29.99,0.86,0.82
201,0.1816,31.15,30.0,0.86,0.82
202,0.1816,31.15,29.99,0.86,0.82
203,0.1816,31.16,30.01,0.86,0.82
204,0.1816,31.16,30.01,0.86,0.82
205,0.1816,31.15,29.99,0.86,0.82
206,0.1816,31.15,29.99,0.86,0.82
207,0.1816,31.15,29.99,0.86,0.82
208,0.1816,31.15,29.98,0.86,0.82
209,0.1816,31.15,29.99,0.86,0.82
210,0.1816,31.15,29.98,0.86,0.82
211,0.1816,31.16,30.01,0.86,0.82
212,0.1816,31.16,30.01,0.86,0.82
213,0.1816,31.15,29.99,0.86,0.82
214,0.1816,31.15,30.0,0.86,0.82
215,0.1816,31.15,30.0,0.86,0.82
216,0.1816,31.15,29.99,0.86,0.82
217,0.1816,31.14,29.99,0.86,0.82
218,0.1816,31.15,29.99,0.86,0.82
219,0.1816,31.15,29.99,0.86,0.82
220,0.1816,31.15,29.99,0.86,0.82
221,0.1816,31.15,29.99,0.86,0.82
222,0.1816,31.15,30.0,0.86,0.82
223,0.1816,31.15,29.99,0.86,0.82
224,0.1816,31.15,29.99,0.86,0.82
225,0.1816,31.15,29.99,0.86,0.82
226,0.1816,31.15,30.0,0.86,0.82
227,0.1816,31.15,29.98,0.86,0.82
228,0.1816,31.15,29.99,0.86,0.82
229,0.1816,31.15,29.99,0.86,0.82
230,0.1816,31.15,30.0,0.86,0.82
231,0.1816,31.15,29.99,0.86,0.82
232,0.1816,31.15,29.99,0.86,0.82
233,0.1816,31.15,29.98,0.86,0.82
