Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
81,0.3318,28.16,27.21,0.77,0.67
82,0.3317,28.17,27.3,0.78,0.67
83,0.3316,28.19,27.32,0.78,0.67
84,0.3316,28.16,27.2,0.77,0.67
85,0.3316,28.13,27.28,0.77,0.67
86,0.3316,28.17,27.33,0.78,0.67
87,0.3315,28.17,27.28,0.77,0.67
88,0.3315,28.21,27.37,0.78,0.67
89,0.3314,28.11,27.07,0.77,0.66
90,0.3314,28.2,27.34,0.78,0.67
91,0.3314,28.18,27.26,0.77,0.67
92,0.3313,28.19,27.37,0.78,0.67
93,0.3312,28.22,27.39,0.78,0.67
94,0.3311,28.2,27.28,0.78,0.67
95,0.3311,28.19,27.32,0.78,0.67
96,0.3311,28.16,27.22,0.77,0.67
97,0.3311,28.24,27.37,0.78,0.67
98,0.3311,28.2,27.36,0.78,0.67
99,0.3309,28.26,27.42,0.78,0.67
100,0.3308,28.22,27.35,0.78,0.67
101,0.3307,28.25,27.41,0.78,0.67
102,0.3307,28.21,27.33,0.78,0.67
103,0.3307,28.22,27.32,0.78,0.67
104,0.3307,28.22,27.38,0.78,0.67
105,0.3306,28.2,27.32,0.78,0.67
106,0.3306,28.23,27.39,0.78,0.67
107,0.3306,28.16,27.19,0.77,0.67
108,0.3305,28.22,27.37,0.78,0.67
109,0.3305,28.22,27.37,0.78,0.67
110,0.3305,28.18,27.27,0.77,0.67
111,0.3305,28.21,27.37,0.78,0.67
112,0.3305,28.23,27.4,0.78,0.67
113,0.3304,28.24,27.39,0.78,0.67
114,0.3304,28.2,27.33,0.78,0.67
115,0.3304,28.21,27.34,0.78,0.67
116,0.3304,28.19,27.32,0.78,0.67
117,0.3303,28.25,27.38,0.78,0.67
118,0.3303,28.22,27.37,0.78,0.67
119,0.3303,28.17,27.29,0.77,0.67
120,0.3303,28.24,27.4,0.78,0.67
121,0.3303,28.22,27.33,0.78,0.67
122,0.3302,28.2,27.31,0.78,0.67
123,0.3302,28.24,27.4,0.78,0.67
124,0.3302,28.22,27.38,0.78,0.67
125,0.3302,28.25,27.39,0.78,0.67
126,0.3302,28.22,27.34,0.78,0.67
127,0.3301,28.22,27.34,0.78,0.67
128,0.3301,28.21,27.35,0.78,0.67
129,0.3301,28.24,27.41,0.78,0.67
130,0.3301,28.23,27.37,0.78,0.67
131,0.3301,28.23,27.38,0.78,0.67
132,0.33,28.23,27.33,0.78,0.67
133,0.33,28.25,27.38,0.78,0.67
134,0.33,28.2,27.35,0.78,0.67
135,0.33,28.21,27.35,0.78,0.67
136,0.33,28.24,27.39,0.78,0.67
137,0.33,28.24,27.35,0.78,0.67
138,0.33,28.22,27.36,0.78,0.67
139,0.3299,28.2,27.32,0.78,0.67
140,0.3299,28.22,27.33,0.78,0.67
141,0.3299,28.23,27.36,0.78,0.67
142,0.3299,28.23,27.37,0.78,0.67
143,0.3298,28.21,27.33,0.78,0.67
144,0.3298,28.21,27.37,0.78,0.67
145,0.3298,28.24,27.38,0.78,0.67
146,0.3298,28.25,27.38,0.78,0.67
147,0.3298,28.24,27.38,0.78,0.67
148,0.3298,28.24,27.39,0.78,0.67
149,0.3297,28.23,27.37,0.78,0.67
150,0.3296,28.21,27.3,0.78,0.67
151,0.3297,28.23,27.35,0.78,0.67
152,0.3296,28.25,27.4,0.78,0.67
153,0.3296,28.24,27.39,0.78,0.67
154,0.3296,28.26,27.4,0.78,0.67
155,0.3296,28.24,27.38,0.78,0.67
156,0.3296,28.24,27.36,0.78,0.67
157,0.3296,28.24,27.39,0.78,0.67
158,0.3296,28.23,27.36,0.78,0.67
159,0.3296,28.23,27.34,0.78,0.67
160,0.3296,28.24,27.39,0.78,0.67
161,0.3296,28.25,27.41,0.78,0.67
162,0.3296,28.24,27.39,0.78,0.67
163,0.3296,28.25,27.39,0.78,0.67
164,0.3296,28.24,27.36,0.78,0.67
