Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
241,0.3292,28.25,27.37,0.78,0.67
242,0.3292,28.25,27.38,0.78,0.67
243,0.3292,28.26,27.4,0.78,0.67
244,0.3292,28.24,27.37,0.78,0.67
245,0.3292,28.24,27.39,0.78,0.67
246,0.3292,28.25,27.4,0.78,0.67
247,0.3292,28.26,27.4,0.78,0.67
248,0.3292,28.25,27.4,0.78,0.67
249,0.3292,28.25,27.37,0.78,0.67
250,0.3291,28.25,27.4,0.78,0.67
251,0.3291,28.25,27.39,0.78,0.67
252,0.3291,28.25,27.4,0.78,0.67
253,0.3291,28.25,27.4,0.78,0.67
254,0.3291,28.25,27.38,0.78,0.67
255,0.3291,28.26,27.4,0.78,0.67
256,0.3291,28.26,27.39,0.78,0.67
257,0.3291,28.25,27.4,0.78,0.67
258,0.3291,28.25,27.4,0.78,0.67
259,0.3291,28.26,27.41,0.78,0.67
260,0.3291,28.25,27.4,0.78,0.67
261,0.3291,28.26,27.41,0.78,0.67
262,0.3291,28.25,27.4,0.78,0.67
263,0.3291,28.25,27.39,0.78,0.67
264,0.3291,28.26,27.4,0.78,0.67
265,0.3291,28.25,27.39,0.78,0.67
266,0.3291,28.25,27.4,0.78,0.67
267,0.3291,28.25,27.39,0.78,0.67
268,0.3291,28.25,27.39,0.78,0.67
269,0.3291,28.25,27.39,0.78,0.67
270,0.3291,28.25,27.39,0.78,0.67
271,0.3291,28.25,27.39,0.78,0.67
272,0.3291,28.25,27.4,0.78,0.67
273,0.3291,28.26,27.41,0.78,0.67
274,0.3291,28.25,27.39,0.78,0.67
275,0.3291,28.25,27.39,0.78,0.67
276,0.3291,28.25,27.39,0.78,0.67
277,0.3291,28.25,27.4,0.78,0.67
278,0.3291,28.25,27.4,0.78,0.67
279,0.3291,28.25,27.38,0.78,0.67
280,0.3291,28.25,27.4,0.78,0.67
281,0.3291,28.25,27.4,0.78,0.67
282,0.3291,28.25,27.39,0.78,0.67
283,0.3291,28.26,27.41,0.78,0.67
284,0.3291,28.25,27.41,0.78,0.67
285,0.3291,28.26,27.4,0.78,0.67
286,0.3291,28.25,27.39,0.78,0.67
287,0.3291,28.25,27.39,0.78,0.67
288,0.3291,28.25,27.4,0.78,0.67
289,0.3291,28.25,27.4,0.78,0.67
290,0.3291,28.26,27.39,0.78,0.67
291,0.3291,28.25,27.39,0.78,0.67
292,0.3291,28.25,27.39,0.78,0.67
293,0.3291,28.26,27.39,0.78,0.67
294,0.3291,28.25,27.39,0.78,0.67
295,0.3291,28.25,27.39,0.78,0.67
296,0.3291,28.25,27.41,0.78,0.67
297,0.3291,28.26,27.4,0.78,0.67
298,0.3291,28.26,27.4,0.78,0.67
299,0.3291,28.25,27.39,0.78,0.67
300,0.3291,28.25,27.39,0.78,0.67
301,0.3291,28.25,27.4,0.78,0.67
302,0.3291,28.25,27.4,0.78,0.67
303,0.3291,28.25,27.39,0.78,0.67
304,0.3291,28.25,27.4,0.78,0.67
305,0.3291,28.25,27.39,0.78,0.67
306,0.3291,28.25,27.4,0.78,0.67
307,0.3291,28.25,27.4,0.78,0.67
308,0.3291,28.26,27.4,0.78,0.67
309,0.3291,28.26,27.4,0.78,0.67
310,0.3291,28.25,27.39,0.78,0.67
311,0.3291,28.25,27.39,0.78,0.67
312,0.3291,28.25,27.4,0.78,0.67
313,0.3291,28.25,27.4,0.78,0.67
314,0.3291,28.26,27.4,0.78,0.67
315,0.3291,28.26,27.4,0.78,0.67
316,0.3291,28.26,27.4,0.78,0.67
317,0.3291,28.25,27.4,0.78,0.67
318,0.3291,28.25,27.39,0.78,0.67
319,0.3291,28.25,27.39,0.78,0.67
320,0.3291,28.25,27.4,0.78,0.67
321,0.3291,28.25,27.4,0.78,0.67
