Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
1,0.8184,25.69,20.44,0.75,0.68
2,0.3713,26.79,20.61,0.79,0.68
3,0.3,26.87,22.61,0.81,0.77
4,0.2734,26.99,23.3,0.82,0.79
5,0.2588,27.6,23.99,0.82,0.78
6,0.2502,26.7,22.44,0.67,0.33
7,0.2417,27.76,25.05,0.83,0.81
8,0.2353,27.51,24.89,0.83,0.81
9,0.2317,28.02,25.72,0.83,0.82
10,0.2276,28.06,25.79,0.83,0.82
11,0.2241,28.09,26.34,0.83,0.82
12,0.2216,28.21,26.45,0.84,0.83
13,0.2191,28.12,26.56,0.83,0.83
14,0.2169,28.3,26.85,0.84,0.83
15,0.2155,28.3,27.1,0.84,0.83
16,0.2134,28.29,26.99,0.83,0.79
17,0.2113,28.35,27.39,0.84,0.84
18,0.2098,28.07,26.46,0.84,0.82
19,0.2081,28.43,27.66,0.84,0.84
20,0.207,28.46,27.79,0.84,0.84
21,0.2053,28.43,27.9,0.84,0.84
22,0.2043,28.5,28.01,0.84,0.85
23,0.2028,28.43,27.99,0.84,0.85
24,0.202,28.37,27.93,0.84,0.84
25,0.2007,28.52,28.27,0.84,0.85
26,0.1996,28.53,28.31,0.84,0.85
27,0.1984,28.63,28.35,0.84,0.84
28,0.1979,28.63,28.55,0.84,0.85
29,0.1966,28.56,28.35,0.84,0.85
30,0.1958,28.67,28.63,0.84,0.85
31,0.1947,28.26,27.24,0.84,0.84
32,0.1943,28.55,28.35,0.84,0.85
33,0.1937,28.72,28.75,0.85,0.86
34,0.1926,28.65,28.64,0.84,0.85
35,0.1923,28.64,28.76,0.84,0.86
36,0.1916,28.69,28.8,0.85,0.86
37,0.1911,28.64,28.81,0.84,0.86
38,0.1907,28.73,28.88,0.85,0.86
39,0.1901,28.36,27.51,0.84,0.82
40,0.1899,28.78,28.91,0.85,0.86
41,0.1895,28.77,28.86,0.85,0.86
42,0.1893,28.78,28.96,0.85,0.86
43,0.189,28.32,27.63,0.84,0.84
44,0.1884,28.8,28.91,0.85,0.86
45,0.1885,28.67,28.6,0.85,0.86
46,0.188,28.68,28.67,0.85,0.86
47,0.188,28.52,28.04,0.84,0.85
48,0.1874,28.75,28.89,0.85,0.86
49,0.1875,28.82,28.94,0.85,0.86
50,0.1853,28.66,28.48,0.84,0.85
51,0.185,28.78,28.92,0.85,0.86
52,0.1849,28.86,28.97,0.85,0.86
53,0.1849,28.72,28.69,0.85,0.86
54,0.1847,28.59,28.1,0.85,0.86
55,0.1846,28.73,28.75,0.85,0.86
56,0.1846,28.69,28.59,0.85,0.86
57,0.1845,28.35,27.49,0.84,0.84
58,0.1844,28.87,29.03,0.85,0.87
59,0.1842,28.8,28.81,0.85,0.86
60,0.184,28.78,28.75,0.85,0.86
61,0.1841,28.79,28.75,0.85,0.86
62,0.1839,28.85,28.98,0.85,0.87
63,0.1839,28.61,28.1,0.85,0.85
64,0.1837,28.85,28.96,0.85,0.86
65,0.1837,28.82,28.9,0.85,0.87
66,0.1837,28.79,28.72,0.85,0.86
67,0.1836,28.84,28.87,0.85,0.86
68,0.1836,28.81,28.81,0.85,0.86
69,0.1835,28.85,28.93,0.85,0.86
70,0.1834,28.8,28.82,0.85,0.86
71,0.1833,28.86,28.92,0.85,0.86
72,0.1832,28.67,28.36,0.85,0.85
73,0.1831,28.7,28.51,0.85,0.86
74,0.1831,28.84,28.87,0.85,0.86
75,0.183,28.81,28.69,0.85,0.86
76,0.1829,28.84,28.95,0.85,0.87
77,0.1829,28.83,28.87,0.85,0.87
78,0.1828,28.84,28.86,0.85,0.87
79,0.1827,28.92,29.06,0.85,0.87
80,0.1827,28.91,29.03,0.85,0.87
81,0.1828,28.92,29.04,0.85,0.87
82,0.1827,28.95,29.09,0.85,0.87
83,0.1825,28.81,28.75,0.85,0.86
84,0.1825,28.75,28.58,0.85,0.86
85,0.1823,28.9,28.94,0.85,0.86
86,0.1823,28.86,28.92,0.85,0.87
87,0.1823,28.73,28.44,0.85,0.86
88,0.1822,28.83,28.77,0.85,0.87
89,0.1822,28.87,28.91,0.85,0.87
90,0.1821,28.62,28.13,0.85,0.85
