Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
191,0.1794,28.95,28.95,0.85,0.87
192,0.1794,28.95,28.96,0.85,0.87
193,0.1793,28.9,28.81,0.85,0.87
194,0.1793,28.86,28.64,0.85,0.86
195,0.1793,29.0,29.08,0.85,0.87
196,0.1793,28.92,28.82,0.85,0.87
197,0.1793,28.93,28.86,0.85,0.87
198,0.1793,28.88,28.72,0.85,0.86
199,0.1793,28.97,29.01,0.85,0.87
200,0.1792,28.94,28.91,0.85,0.87
201,0.1792,28.93,28.88,0.85,0.87
202,0.1792,28.91,28.83,0.85,0.87
203,0.1792,28.94,28.89,0.85,0.87
204,0.1792,28.94,28.89,0.85,0.87
205,0.1792,28.95,28.93,0.85,0.87
206,0.1792,28.91,28.82,0.85,0.87
207,0.1792,28.97,29.0,0.85,0.87
208,0.1791,28.96,28.95,0.85,0.87
209,0.1792,28.93,28.86,0.85,0.87
210,0.1791,28.98,29.03,0.85,0.87
211,0.1792,28.92,28.84,0.85,0.87
212,0.1791,28.96,28.95,0.85,0.87
213,0.1791,28.93,28.84,0.85,0.87
214,0.1791,28.91,28.81,0.85,0.87
215,0.1791,28.95,28.92,0.85,0.87
216,0.1792,28.94,28.9,0.85,0.87
217,0.1791,28.93,28.85,0.85,0.87
218,0.1791,28.91,28.79,0.85,0.87
219,0.1791,28.94,28.89,0.85,0.87
220,0.1791,28.94,28.92,0.85,0.87
221,0.1791,28.96,28.97,0.85,0.87
222,0.1791,28.97,29.0,0.85,0.87
223,0.1791,28.97,28.99,0.85,0.87
224,0.1791,28.95,28.92,0.85,0.87
225,0.1791,28.92,28.84,0.85,0.87
226,0.1791,28.96,28.97,0.85,0.87
227,0.1791,28.93,28.86,0.85,0.87
228,0.1791,28.95,28.94,0.85,0.87
229,0.1791,28.93,28.84,0.85,0.87
230,0.1791,28.96,28.93,0.85,0.87
231,0.1791,28.94,28.89,0.85,0.87
232,0.1791,28.96,28.97,0.85,0.87
233,0.1791,28.92,28.82,0.85,0.87
234,0.1791,28.98,29.03,0.85,0.87
235,0.1791,28.96,28.97,0.85,0.87
236,0.1791,28.94,28.88,0.85,0.87
237,0.1791,28.94,28.9,0.85,0.87
238,0.1791,28.92,28.83,0.85,0.87
239,0.1791,28.96,28.97,0.85,0.87
240,0.1791,28.94,28.91,0.85,0.87
241,0.179,28.92,28.83,0.85,0.87
242,0.1791,28.96,28.97,0.85,0.87
243,0.179,28.92,28.8,0.85,0.87
244,0.179,28.94,28.87,0.85,0.87
245,0.179,28.9,28.76,0.85,0.87
246,0.179,28.93,28.85,0.85,0.87
247,0.179,28.87,28.66,0.85,0.86
248,0.179,28.96,28.95,0.85,0.87
249,0.179,28.97,28.99,0.85,0.87
250,0.179,28.97,29.0,0.85,0.87
251,0.179,28.96,28.95,0.85,0.87
252,0.179,28.96,28.95,0.85,0.87
253,0.179,28.95,28.93,0.85,0.87
254,0.179,28.96,28.94,0.85,0.87
255,0.179,28.94,28.9,0.85,0.87
256,0.179,28.96,28.97,0.85,0.87
257,0.179,28.96,28.95,0.85,0.87
258,0.179,28.95,28.92,0.85,0.87
259,0.179,28.96,28.97,0.85,0.87
260,0.179,28.94,28.89,0.85,0.87
261,0.1789,28.96,28.93,0.85,0.87
262,0.1789,28.93,28.86,0.85,0.87
263,0.1789,28.93,28.84,0.85,0.87
264,0.1789,28.95,28.93,0.85,0.87
265,0.1789,28.97,28.99,0.85,0.87
266,0.1789,28.93,28.83,0.85,0.87
267,0.1789,28.95,28.91,0.85,0.87
268,0.1789,28.96,28.94,0.85,0.87
269,0.1789,28.97,28.99,0.85,0.87
270,0.1789,28.95,28.91,0.85,0.87
271,0.1789,28.97,28.97,0.85,0.87
272,0.1789,28.97,28.98,0.85,0.87
273,0.1789,28.94,28.87,0.85,0.87
274,0.1789,28.93,28.86,0.85,0.87
275,0.1789,28.96,28.94,0.85,0.87
276,0.1789,28.95,28.9,0.85,0.87
277,0.1789,28.95,28.91,0.85,0.87
278,0.1789,28.95,28.91,0.85,0.87
279,0.1789,28.95,28.93,0.85,0.87
280,0.1789,28.93,28.85,0.85,0.87
281,0.1789,28.95,28.92,0.85,0.87
282,0.1789,28.93,28.86,0.85,0.87
283,0.1789,28.95,28.92,0.85,0.87
284,0.1789,28.95,28.93,0.85,0.87
285,0.1789,28.95,28.92,0.85,0.87
286,0.1789,28.95,28.9,0.85,0.87
287,0.1789,28.98,29.0,0.85,0.87
288,0.1789,28.96,28.95,0.85,0.87
