Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
91,0.7005,17.84,17.0,0.6,0.43
92,0.7004,17.76,16.93,0.6,0.43
93,0.7003,17.86,17.04,0.61,0.44
94,0.7001,17.69,16.89,0.6,0.43
95,0.7001,17.72,16.91,0.6,0.43
96,0.7,17.79,16.98,0.61,0.43
97,0.6999,17.58,16.78,0.6,0.43
98,0.6999,17.91,17.09,0.61,0.44
99,0.6997,17.57,16.77,0.6,0.43
100,0.6993,17.79,16.95,0.61,0.43
101,0.6992,17.77,16.94,0.61,0.43
102,0.6992,17.88,17.03,0.61,0.44
103,0.6992,17.85,17.02,0.61,0.43
104,0.6991,17.81,16.98,0.61,0.43
105,0.699,17.85,17.01,0.61,0.43
106,0.699,17.83,17.01,0.61,0.43
107,0.699,17.82,16.97,0.61,0.43
108,0.699,17.79,16.96,0.61,0.43
109,0.6989,17.91,17.05,0.61,0.44
110,0.6989,17.84,17.01,0.61,0.43
111,0.6989,17.88,17.04,0.61,0.44
112,0.6988,17.83,17.0,0.61,0.43
113,0.6987,17.83,17.01,0.61,0.43
114,0.6988,17.81,16.98,0.61,0.43
115,0.6987,17.8,16.96,0.61,0.43
116,0.6986,17.88,17.04,0.61,0.43
117,0.6986,17.75,16.94,0.6,0.43
118,0.6986,17.86,16.99,0.61,0.43
119,0.6985,17.87,17.01,0.61,0.43
120,0.6984,17.78,16.95,0.61,0.43
121,0.6984,17.85,16.99,0.61,0.43
122,0.6984,17.88,17.04,0.61,0.44
123,0.6984,17.82,16.98,0.61,0.43
124,0.6983,17.81,16.97,0.61,0.43
125,0.6983,17.85,17.01,0.61,0.43
126,0.6982,17.82,16.96,0.61,0.43
127,0.6982,17.9,17.06,0.61,0.44
128,0.6981,17.88,17.03,0.61,0.43
129,0.6981,17.75,16.91,0.61,0.43
130,0.6981,17.84,17.01,0.61,0.43
131,0.6981,17.82,16.97,0.61,0.43
132,0.698,17.82,16.98,0.61,0.43
133,0.698,17.9,17.04,0.61,0.44
134,0.6979,17.93,17.04,0.61,0.44
135,0.6979,17.92,17.07,0.61,0.44
136,0.6979,17.82,16.98,0.61,0.43
137,0.6979,17.83,16.99,0.61,0.43
138,0.6978,17.83,17.0,0.61,0.43
139,0.6978,17.88,17.02,0.61,0.44
140,0.6977,17.89,17.04,0.61,0.44
141,0.6977,17.84,16.98,0.61,0.43
142,0.6977,17.88,17.04,0.61,0.43
143,0.6975,17.86,17.02,0.61,0.43
144,0.6976,17.88,17.03,0.61,0.43
145,0.6975,17.8,16.94,0.61,0.43
146,0.6975,17.91,17.05,0.61,0.44
147,0.6975,17.89,17.04,0.61,0.44
148,0.6975,17.83,16.97,0.61,0.43
149,0.6974,17.76,16.93,0.61,0.43
150,0.6973,17.84,16.99,0.61,0.43
151,0.6973,17.89,17.04,0.61,0.44
152,0.6972,17.87,17.02,0.61,0.43
153,0.6972,17.83,16.99,0.61,0.43
154,0.6972,17.85,17.0,0.61,0.43
155,0.6972,17.86,17.01,0.61,0.43
156,0.6971,17.88,17.03,0.61,0.43
157,0.6971,17.85,17.0,0.61,0.43
158,0.6971,17.93,17.07,0.61,0.44
159,0.6971,17.89,17.03,0.61,0.44
160,0.6971,17.87,17.01,0.61,0.43
161,0.6971,17.87,17.02,0.61,0.43
162,0.6971,17.88,17.02,0.61,0.43
163,0.6971,17.88,17.02,0.61,0.44
164,0.697,17.91,17.07,0.61,0.44
165,0.697,17.83,16.98,0.61,0.43
166,0.697,17.86,17.01,0.61,0.43
167,0.697,17.86,17.01,0.61,0.43
168,0.697,17.89,17.05,0.61,0.44
169,0.697,17.84,17.0,0.61,0.43
170,0.6969,17.88,17.02,0.61,0.43
171,0.6969,17.91,17.04,0.61,0.44
172,0.6969,17.89,17.04,0.61,0.44
173,0.6969,17.88,17.02,0.61,0.43
174,0.6969,17.89,17.03,0.61,0.43
175,0.6968,17.93,17.08,0.61,0.44
176,0.6969,17.91,17.05,0.61,0.44
177,0.6969,17.86,17.0,0.61,0.43
178,0.6968,17.84,16.99,0.61,0.43
179,0.6968,17.88,17.02,0.61,0.44
180,0.6968,17.87,17.02,0.61,0.43
181,0.6968,17.88,17.02,0.61,0.43
