Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
213,0.0268,29.76,28.24
214,0.0268,29.84,28.35
215,0.0268,29.69,28.2
216,0.0268,29.75,28.27
217,0.0268,29.8,28.27
218,0.0268,29.74,28.25
219,0.0268,29.7,28.23
220,0.0268,29.76,28.27
221,0.0268,29.72,28.28
222,0.0268,29.69,28.19
223,0.0268,29.81,28.34
224,0.0268,29.65,28.15
225,0.0268,29.7,28.21
226,0.0268,29.77,28.24
227,0.0268,29.8,28.31
228,0.0268,29.82,28.31
229,0.0268,29.72,28.21
230,0.0268,29.68,28.2
231,0.0268,29.73,28.22
232,0.0268,29.7,28.2
233,0.0268,29.74,28.23
234,0.0268,29.74,28.25
235,0.0268,29.71,28.24
236,0.0268,29.8,28.29
237,0.0268,29.65,28.2
238,0.0268,29.84,28.34
239,0.0268,29.73,28.28
240,0.0268,29.77,28.25
241,0.0268,29.77,28.24
242,0.0268,29.75,28.24
243,0.0268,29.71,28.22
244,0.0268,29.75,28.21
245,0.0268,29.74,28.25
246,0.0268,29.82,28.33
247,0.0268,29.71,28.26
248,0.0268,29.74,28.25
249,0.0268,29.68,28.19
250,0.0268,29.7,28.21
251,0.0268,29.78,28.32
252,0.0268,29.73,28.21
253,0.0268,29.76,28.25
254,0.0268,29.73,28.25
255,0.0268,29.79,28.3
256,0.0268,29.72,28.23
257,0.0268,29.72,28.24
258,0.0268,29.77,28.32
259,0.0268,29.75,28.24
260,0.0268,29.8,28.29
261,0.0268,29.73,28.26
262,0.0268,29.74,28.24
263,0.0268,29.71,28.24
264,0.0268,29.76,28.26
265,0.0268,29.8,28.29
266,0.0268,29.76,28.25
267,0.0268,29.76,28.24
268,0.0268,29.71,28.21
269,0.0268,29.78,28.29
270,0.0268,29.75,28.27
271,0.0268,29.75,28.25
272,0.0268,29.75,28.26
273,0.0268,29.79,28.29
